s	label	def	source	parent
sesrs:Carbonatite	carbonatite	Igneous rock composed of more than 50 percent modal carbonate minerals.	LeMaitre et al. 2002	rksd:Exotic_Composition_Igneous_Rock
sesrs:Exotic_Alkaline_Rock	exotic alkaline rock	Kimberlite, lamproite, or lamprophyre. Generally are potassic, mafic or ultramafic rocks. Olivine (commonly serpentinized in kimberlite), and phlogopite are significant constituents.	based on LeMaitre et al. 2002	rksd:Exotic_Composition_Igneous_Rock
sesrs:Kalsilitic_And_Melilitic_Rock	kalsilitic and melilitic rocks	Igneous rock containing greater than 10 percent melilite or kalsilite. Typically undersaturated, ultrapotassic (kalsilitic rocks) or calcium-rich (melilitic rocks) mafic or ultramafic rocks.	based on LeMaitre et al. 2002	rksd:Exotic_Composition_Igneous_Rock
rksd:breccia_gouge_series	breccia gouge series	Fault-related material with features such as void spaces (filled or unfilled), or unconsolidated matrix material between fragments, indicating loss of cohesion during deformation. Includes fault-related breccia and gouge.	SLTTm 2004	rksd:Fault_Related_Material
rksd:Cataclasite_Series	cataclasite series	Fault-related rock that maintained primary cohesion during deformation, with matrix comprising greater than 10 percent of rock mass; matrix is fine-grained material formed through grain size reduction by fracture as opposed to crystal plastic process that operate in mylonitic rock. Includes cataclasite, protocataclasite and ultracataclasite.	Sibson, 1977; Scholz, 1990; Snoke and Tullis, 1998; Barker, 1998 Appendix II; NADM SLTTm, 2004	rksd:Fault_Related_Material
rksd:Mylonitic_Rock	mylonitic rock	Metamorphic rock characterised by a foliation resulting from tectonic grain size reduction, in which more than 10 percent of the rock volume has undergone grain size reduction. Includes protomylonite, mylonite, ultramylonite, and blastomylonite.	Marshak and Mitra 1988	rksd:Fault_Related_Material
rksd:Andesite	andesite	Fine-grained igneous rock with less than 20 percent quartz and less than 10 percent feldspathoid minerals in the QAPF fraction, in which the ratio of plagioclase to total feldspar is greater 0.65. Includes rocks defined modally in QAPF fields 9 and 10 or chemically in TAS field O2 as andesite. Basalt and andesite, which share the same QAPF fields, are distinguished chemically based on silica content, with basalt defined to contain less than 52 weight percent silica. If chemical data are not available, the color index is used to distinguish the categories, with basalt defined to contain greater than 35 percent mafic minerals by volume or greater than 40 percent mafic minerals by weight. Typically consists of plagioclase (frequently zoned from labradorite to oligoclase), pyroxene, hornblende and/or biotite. Fine grained equivalent of dioritic rock.	after LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Basalt	basalt	Fine-grained or porphyritic igneous rock with less than 20 percent quartz, and less than 10 percent feldspathoid minerals, in which the ratio of plagioclase to total feldspar is greater 0.65. Typically composed of calcic plagioclase and clinopyroxene; phenocrysts typically include one or more of calcic plagioclase, clinopyroxene, orthopyroxene, and olivine. Includes rocks defined modally in QAPF fields 9 and 10 or chemically in TAS field B as basalt. Basalt and andesite are distinguished chemically based on silica content, with basalt defined to contain less than 52 weight percent silica. If chemical data are not available, the color index is used to distinguish the categories, with basalt defined to contain greater than 35 percent mafic minerals by volume or greater than 40 percent mafic minerals by weight.	after LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Dacite	dacite	Fine grained or porphyritic crystalline rock that contains less than 90 percent mafic minerals, between 20 and 60 percent quartz in the QAPF fraction, and has a plagioclase to total feldspar ratio greater than 0.65. Includes rocks defined modally in QAPF fields 4 and 5 or chemically in TAS Field O3. Typically composed of quartz and sodic plagioclase with minor amounts of biotite and/or hornblende and/or pyroxene; fine-grained equivalent of granodiorite and tonalite.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Foiditoid	foiditoid	Fine grained crystalline rock containing less than 90 percent mafic minerals and more than 60 percent feldspathoid minerals in the QAPF fraction. Includes rocks defined modally in QAPF field 15 or chemically in TAS field F.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:High_Magnesium_Fine_Grained_Igneous_Rock	high magnesium fine grained igneous rock	fine-grained igneous rock that contains unusually high concentration of MgO. For rocks that contain greater than 52 percent silica, MgO must be greater than 8 percent. For rocks containing less than 52 percent silica, MgO must be greater than 12 percent.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Phonolitoid	phonolitoid	Fine grained igneous rock than contains less than 90 percent mafic minerals, between 10 and 60 percent feldspathoid mineral in the QAPF fraction and has a plagioclase to total feldspar ratio less than 0.5. Includes rocks defined modally in QAPF fields 11 and 12, and TAS field Ph.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Rhyolitoid	rhyolitoid	fine_grained_igneous_rock consisting of quartz and alkali feldspar, with minor plagioclase and biotite, in a microcrystalline, cryptocrystalline or glassy groundmass. Flow texture is common. Includes rocks defined modally in QAPF fields 2 and 3 or chemically in TAS Field R as rhyolite. QAPF normative definition is based on modal mineralogy thus: less than 90 percent mafic minerals, between 20 and 60 percent quartz in the QAPF fraction, and ratio of plagioclse to total feldspar is less than 0.65.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Tephritoid	tephritoid	Fine grained igneous rock than contains less than 90 percent mafic minerals, between 10 and 60 percent feldspathoid mineral in the QAPF fraction and has a plagioclase to total feldspar ratio greater than 0.5. Includes rocks classified in QAPF field 13 and 14 or chemically in TAS field U1 as basanite or tephrite.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
rksd:Trachytoid	trachytoid	Fine grained igneous rock than contains less than 90 percent mafic minerals, less than 10 percent feldspathoid mineral and less than 20 percent quartz in the QAPF fraction and has a plagioclase to total feldspar ratio less than 0.65. Mafic minerals typically include amphibole or mica; typically porphyritic. Includes rocks defined modally in QAPF fields 6, 7 and 8 (with subdivisions) or chemically in TAS Field T as trachyte or latite.	LeMaitre et al. 2002	rksd:Fine_Grained_Igneous_Rock
sesrs:Foid_Diorite	foid diorite	Foid dioritoid in which the plagioclase to total feldspar ratio is greater than 0.9. Includes rocks defined modally in QAPF field 14.	LeMaitre et al. 2002	rksd:Foid_Dioritoid
sesrs:Foid_Monzodiorite	foid monzodiorite	Foid dioritoid in which the plagioclase to total feldspar ratio is between 0.1 and 0.9. Includes rocks defined modally in QAPF field 13.	LeMaitre et al. 2002	rksd:Foid_Dioritoid
sesrs:Foid_Gabbro	foid gabbro	Foid gabbroid that has a plagioclase to total feldspar ratio greater than 0.9. Includes rocks defined modally in QAPF field 14.	LeMaitre et al. 2002	rksd:Foid_Gabbroid
sesrs:Foid_Monzogabbro	foid monzogabbro	Foid gabbroid that has a plagioclase to total feldspar ratio between 0.5 and 0.9. Includes rocks defined modally in QAPF field 13.	LeMaitre et al. 2002	rksd:Foid_Gabbroid
sesrs:Foid_Monzosyenite	foid monzosyenite	Foid syenitoid rock that has a plagioclase to total feldspar ratio of between 0.1 and 0.5. Includes rocks defined modally in QAPF Field 12.	LeMaitre et al. 2002	rksd:Foid_Syenitoid
sesrs:Foid_Syenite	foid syenite	Foid syenitoid that has a plagioclase to total feldspar ratio of less than 0.1. Includes rocks defined modally in QAPF field 11.	LeMaitre et al. 2002	rksd:Foid_Syenitoid
sesrs:Basanitic_Foidite	basanitic foidite	Foiditoid that contains less than 90 percent feldspathoid minerals in the QAPF fraction, and has a plagioclase to total feldspar ratio that is greater than 0.5, with greater than 10 percent normative olivine.	LeMaitre et al. 2002	rksd:Foiditoid
sesrs:Foidite	foidite	Foiditoid that contains greater than 90 percent feldspathoid minerals in the QAPF fraction.	LeMaitre et al. 2002	rksd:Foiditoid
sesrs:Phonolitic_Foidite	phonolitic foidite	Foiditoid that contains less than 90 percent feldspathoid minerals in the QAPF fraction, and has a plagioclase to total feldspar ratio that is less than 0.5	LeMaitre et al. 2002	rksd:Foiditoid
sesrs:Tephritic_Foidite	tephritic foidite	Foiditoid that contains less than 90 percent feldspathoid minerals in the QAPF fraction, and has a plagioclase to total feldspar ratio that is greater than 0.5, with less than 10 percent normative olivine	LeMaitre et al. 2002	rksd:Foiditoid
rksd:Pyroclastic_Rock	pyroclastic rock	Fragmental igneous rock that consists of greater than 75 percent fragments produced as a direct result of eruption or extrusion of magma from within the earth onto its surface. Includes autobreccia associated with lava flows and excludes deposits reworked by epiclastic processes.	based on LeMaitre et al. 2002	rksd:Fragmental_Igneous_Rock
sesrs:Foid_Bearing_Gabbro	foid bearing gabbro	Gabbroic rock that contains 0-10 percent feldspathoid minerals and no quartz in the QAPF fraction. QAPF field 10'.	LeMaitre et al. 2002	rksd:Gabbroic_Rock
sesrs:Gabbro	gabbro	Gabbroic rock that contains between 0 and 5 percent quartz and no feldspathoid mineral in the QAPF fraction. Includes rocks defined modally in QAPF Field 10 as gabbro.	LeMaitre et al. 2002	rksd:Gabbroic_Rock
sesrs:Quartz_Gabbro	quartz gabbro	Gabbroic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 10*.	LeMaitre et al. 2002	rksd:Gabbroic_Rock
rksd:Gabbroic_Rock	gabbroic rock	Gabbroid that has a plagioclase to total feldspar ratio greater than 0.9 in the QAPF fraction. Includes QAPF fields 10*, 10, and 10'. This category includes the various categories defined in LeMaitre et al. (2002) based on the mafic mineralogy, but apparently not subdivided based on the quartz/feldspathoid content.	LeMaitre et al. 2002	rksd:Gabbroid
rksd:Monzogabbroic_Rock	monzogabbroic rock	Gabbroid with a plagioclase to total feldspar ratio between 0.65 and 0.9. QAPF field 9, 9 prime and 9 asterisk	LeMaitre et al. 2002, This vocabulary	rksd:Gabbroid
sesrs:clastic_conglomerate	conglomerate	Clastic sedimentary rock composed of at least 30 percent rounded to subangular fragments larger than 2 mm in diameter; typically contains finer grained material in interstices between larger fragments. If more than 15 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wackestone. If rock has unsorted or poorly sorted texture with a wide range of particle sizes, may also be categorized as diamictite.	Neuendorf et al. 2005; SLTTs 2004	rksd:Generic_Conglomerate
sesrs:carbonate_mudstone	carbonate mudstone	Mudstone that consists of greater than 50 percent carbonate minerals of any origin in the mud size fraction.	This vocabulary	rksd:Generic_Mudstone
sesrs:carbonate_rich_mudstone	carbonate rich mudstone	Mudstone that contains between 10 and 50 percent carbonate minerals in the mud size fraction. Carbonate origin is not specified.	This vocabulary	rksd:Generic_Mudstone
sesrs:clastic_mudstone	mudstone	Clastic sedimentary rock consisting of less than 30 percent gravel-size (2 mm) particles and with a mud to sand ratio greater than 1.	Pettijohn et al. 1987 referenced in Hallsworth and Knox 1999.	rksd:Generic_Mudstone
sesrs:organic_bearing_mudstone	organic bearing mudstone	Mudstone that contains a significant amount of organic carbon, typically kerogen. commonly finely laminated, brown or black in color.	Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Oil_shale	rksd:Generic_Mudstone
sesrs:pure_carbonate_mudstone	pure carbonate mudstone	Mudstone that consists of greater than 90 percent carbonate minerals of intrabasinal orign in the mud fraction, and contains less than 10 percent allochems. The original depositional texture is preserved and fabric is matrix supported. Carbonate mudstone of Dunham (1962)	Dunham 1962	rksd:Generic_Mudstone
sesrs:silicate_mudstone	silicate mudstone	Mudstone that contains less than 10 percent carbonate minerals.	This vocabulary	rksd:Generic_Mudstone
sesrs:clastic_sandstone	sandstone	Clastic sedimentary rock in which less than 30 percent of particles are greater than 2 mm in diameter (gravel) and the sand to mud ratio is at least 1.	SLTTs 2004; Neuendorf et al. 2005; particle size from Wentworth grade scale	rksd:Generic_Sandstone
sesrs:Glassy_Igneous_Rock	glassy igneous rock	Igneous rock that consists of greater than 80 percent massive glass.	This vocabulary	rksd:Glass_Rich_Igneous_Rock
sesrs:Monzogranite	monzogranite	Granite that has a plagiolcase to total feldspar ratio between 0.35 and 0.65. QAPF field 3b.	LeMaitre et al. 2002	rksd:Granite
sesrs:Syenogranite	syenogranite	Granite that has a plagiolcase to total feldspar ratio between 0.10 and 0.35. QAPF field 3a.	LeMaitre et al. 2002	rksd:Granite
rksd:Alkali_Feldspar_Granite	alkali feldspar granite	Granitic rock that has a plagioclase to total feldspar ratio less than 0.1. QAPF field 2.	LeMaitre et al. 2002	rksd:Granitoid
rksd:Granite	granite	Phaneritic crystalline rock consisting of quartz, alkali feldspar and plagioclase (typically sodic) in variable amounts, usually with biotite and/or hornblende. Includes rocks defined modally in QAPF Field 3.	LeMaitre et al. 2002	rksd:Granitoid
