s	deflist
sessf:butte	an isolated hill with steep, often vertical sides and relatively flat top; buttes are smaller landforms than mesas, plateaus or tablelands
sessf:canal	A human manufactured water channel to manage surface water resources for irrigation, transportation, or human consumption.
sessf:canyon	a deep, relatively narrow, steep-sided valley confined between walls cutting through a plateau or mountainous area
sessf:cape	A mass of land that extends from a coastline into an adjacent body of water
sessf:carbonate_dominated_shoreline	A shoreline setting in which terrigenous input is minor compared to local carbonate sediment production. Constructional biogenic activity is an important element in geomorphic development.
sessf:carbonate_mound	a seafloor elevation formed by calcareous framework-building organisms, varying in shapes, sizes, and heights, generally less than 500 meters. These mounds can be circular, arcuate, elongated, or irregular, with heights ranging from a few meters to over 300 meters, and are commonly found in temperate to high latitudes on the continental slope.
sessf:carbonatite_complex	Intrusive or extrusive rocks in suite with abundant carbonatite and similar exotic composition rocks
sessf:cave	A natural underground open space, it generally has a connection to the surface, is large enough for a person to enter, and extends into darkness. The most common type of cave is formed in limestone by dissolution.
sessf:channel	A natural passageway or depression of perceptible extent that contains a continuously or periodically flowing fluid
sessf:cirque	a steep-walled, half-bowl-like recess in a mountain, formed by the erosive activty of a mountain glacier
sessf:cliff	A high, very steep to vertical rock face.
sessf:coastal_dune_field	A dune field on low-lying land recently abandoned or built up by the sea, the dunes may ascend a cliff and travel inland.
sessf:coastal_plain	A low relief plain bordering a water body extending inland to the nearest elevated land, sloping very gently towards the water body. Distinguished from alluvial plain by presence of relict shoreline-related deposits or morphology.
sessf:collisional_setting	Tectonic setting in which two continental crustal plates impact and are sutured together after intervening oceanic crust is entirely consumed at a subduction zone separating the plates. Such collision typically involves major mountain forming events, exemplified by the modern Alpine and Himalayan mountain chains.
sessf:contact_metamorphic_zone	Zone of metamorphism associated with the contact of an igneous body.
sessf:continent	Sampled feature is on or within continental crust.
sessf:continental_borderland	An area of the continental margin between the shoreline and the continental slope that is topographically more complex than the continental shelf. It is characterized by ridges and basins, some of which are below the depth of the continental shelf. An example is the southern California continental borderland,.... (Jackson, 1997, p. 138)..
sessf:continental_crust	That type of the Earth's crust which underlies the continents and the continental shelves, it is equivalent to the sial and continental sima and ranges in thickness from about 25 km to more than 70 km under mountain ranges, averaging ~40 km. The density of the continental crust averages ~2.8 g/cm3 and is ~2.7 g.cm3 in the upper layer. The velocities of compressional seismic waves through it average ~6.5 km/s and are less than ~7.0 km/sec.
sessf:continental_divide	a topographic boundary that separates areas on a continent such that the drainage basin on one side of the boundary feeds into one ocean or sea, and the basin on the other side either feeds into a different ocean or sea, or else is not connected to the open sea.
sessf:continental_margin	Boundary zone between continental crust and oceanic crust.
sessf:continental_margin_trench	A deep submarine valley associated with subduction of an oceanic plate underneath a continent.
sessf:continental_rift_setting	Extended terrane in a zone of continental breakup, may include incipient oceanic crust. Examples include Red Sea, East Africa Rift, Salton Trough
sessf:continental_shelf	That part of the ocean floor that is between the shoreline and the continental slope (or, when there is no noticeable continental slope, a depth of 200 m). It is characterized by its gentle slope of 0.1 degree (Jackson, 1997, p. 138). Continental shelves have a classic shoreline-shelf-slope profile termed 'clinoform'.
sessf:continental_volcanic_arc	a linear chain of volcanos formed above a subduction zone with ocean crust subducting beneath a continent
sessf:crater	A broadly circular depression in the Earth surface, commonly with a raised rim
sessf:crust	The outermost layer or shell of the Earth, defined according to various criteria, including seismic velocity, density and composition, that part of the Earth above the Mohorovicic discontinuity, made up of the sial and the sima.
sessf:cutoff_meander	The abandoned, bow- or horseshoe-shaped channel of a former meander, left when the stream formed a cutoff across a narrow meander neck. Note that these are typically lakes, thus also lacustrine.
sessf:deep_sea_trench	Deep ocean basin with steep (average 10 degrees) slope toward land, more gentle slope (average 5 degrees) towards the sea, and abundant seismic activity on landward side of trench. Does not denote water depth, but may be very deep.
sessf:delta_front	A narrow zone where deposition in deltas is most active, consisting of a continuous sheet of sand, and occurring within the effective depth of wave erosion (10 m or less). It is the zone separating the prodelta from the delta plain, and it may or may not be steep\
sessf:delta_plain	The level or nearly level surface composing the landward part of a large or compound delta, strictly, an alluvial plain characterized by repeated channel bifurcation and divergence, multiple distributary channels, and interdistributary flood basins
sessf:deltaic_system	Environments at the mouth of a river or stream that enters a standing body of water (ocean or lake). The delta forms a triangular or fan-shaped plain of considerable area. Subaerial parts of the delta are crossed by many distributaries of the main river, and commonly extend beyond the general trend of the coast. Subaqueous parts of the delta merge with the adjacent basin floor, and are progressively influenced by non-fluvial processes. Deltas result from the accumulation of sediment supplied by the river in such quantities that it is not removed by tides, waves, and currents. Adapted from the Glossary of Geology definition for delta (Jackson, 1997, p. 167).
sessf:diatreme_or_kimberlite	
sessf:distributary_channel	A divergent stream flowing away from the main stream and not returning to it, as in a delta or on an alluvial plain
sessf:distributary_mouth	The mouth of a delta distributary channel where fluvial discharge moves from confined to unconfined flow conditions
sessf:drainage_basin	an area of land where all flowing surface water converges to a single point, such as a river mouth, or flows into another body of water, such as a lake or ocean
sessf:drumlin	a low, smoothly rounded, strongly elongated oval hill formed by the flow of a glacier over non-consolidated sediment, typically older glacial deposits
sessf:ductile_shear_zone	Tabular or sheetlike and planar or curviplanar zones in which rocks are more highly strained through crystal plastic processes than rocks adjacent to the zone
sessf:dune	a mound or hill of loose, windblown granular material (typically sand), capable of wind-driven movement, while  retaining its characteristic shape
sessf:dunefield	Extensive deposits on sand in an area where the supply is abundant. As a characteristic, individual dunes somewhat resemble barchans but are highly irregular in shape and crowded, erg areas of the Sahara are an example.
sessf:englacial_setting	Contained, embedded, or carried within the body of a glacier or ice sheet, said of meltwater streams, till, drift, moraine
sessf:eolian_process_setting	Sedimentary setting in which wind is the dominant process producing, transporting, and depositing sediment. Typically has low-relief plain or piedmont slope physiography.
sessf:epicontinental_marine_setting	Marine setting situated within the interior of the continent, rather than at the edge of a continent.
sessf:escarpment	a steep slope or long cliff that separates two relatively level areas having different elevations.
sessf:estuarine_delta	A delta that has filled, or is in the process of filling, an estuary
sessf:estuarine_lagoon	A lagoon produced by the temporary sealing of a river estuary by a storm barrier. Such lagoons are usually seasonal and exist until the river breaches the barrier, they occur in regions of low or spasmodic rainfall
sessf:estuary	Environments at the seaward end or the widened funnel-shaped tidal mouth of a river valley where fresh water comes into contact with seawater and where tidal effects are evident (adapted from Glossary of Geology, Jackson, 1997, p. 217).
sessf:extended_terrane	Tectonic setting characterized by extension of the upper crust manifested by formation of rift valleys or basin and range physiography, with arrays of low to high angle normal faults. Modern examples include the North Sea, East Africa, and the Basin and Range of the North American Cordillera. Typically applied in continental crustal settings.
sessf:extra_terrestrial_setting	Material originated outside of the Earth or its atmosphere.
sessf:fault	
sessf:fault_scarp	
sessf:fiord	A long and narrow sea inlet with high steeply sloped walled sides. A fjord is a landform created during a period of glaciation.
sessf:floodplain	The surface or strip of relatively smooth land adjacent to a river channel, constructed by the present river in its existing regimen and covered with water when the river overflows its banks. It is built of alluvium carried by the river during floods and deposited in the sluggish water beyond the influence of the swiftest current. A river has one floodplain and may have one or more terraces representing abandoned floodplains
sessf:fold	
sessf:forearc_setting	Tectonic setting between a subduction-related trench and a volcanic arc
sessf:foreland_basin	an elongate region of potential sediment accommodation that forms on continental crust between a contractional orogenic belt and the adjacent craton, mainly in response to geodynamic processes related to subduction and the resulting peripheral or retroarc fold-thrust belt.
sessf:foreland_fold_thrust_belt	
sessf:foreland_setting	The exterior area of an orogenic belt where deformation occurs without significant metamorphism. Generally the foreland is closer to the continental interior than other portions of the orogenic belt are.
sessf:forereef_setting	The seaward side of a reef, the slope covered with deposits of coarse reef talus
sessf:forest	An area with a high density of trees.
sessf:fracture_zone	a tranform fault offsetting an oceanic spreading center
sessf:geologic_structure	
sessf:geologic_unit	Sampled feature is a rock body that has some identifying and unity criteria that constitutes a part of the Earth's crust or mantle.
sessf:geothermal_water	Water that has been heated by interaction with hot rock bodies in the subsurface
sessf:gibber_plain	A desert plain strewn with wind-abraded pebbles, or gibbers, a gravelly desert.
sessf:glacial_outwash_plain	Areas adjacent to glacial front dominated by sediment and water supplied by glacial melting.
sessf:glacier_lateral_setting	Settings adjacent to edges of confined glacier.
sessf:glacier_terminus	Region of sediment deposition due to melting of glacier ice. ablation and flow till setting.
sessf:granitoid_intrusive_complex	Broadly granitic suites of cogentic intrusive rocks ranging from diorite to granite; mostly medium to coarse grained, might include finer grained bodies as well as very coarse-grained pegmatite
sessf:hadal_setting	The deepest oceanic environment, i.e., over 6000 m in depth. Always in deep sea trench.
sessf:harbor	A coastal feature useful to humans to bring water craft to shore, onload and offload cargo, and provide protection from storms.
sessf:high_pressure_low_temperature_earth_interior_setting	High pressure environment characterized by geothermal gradient significantly lower than standard continental geotherm, enviornment in which blueschist facies metamorphic rocks form. Typically associated with subduction zones.
sessf:hill	an elevation of the Earth surface, of limited extent, having a well defined outline, rounded morphology, and generally considered to be less that 300 m (1000 ft) from base to summit
sessf:hillslope_setting	Earth surface setting characterized by surface slope angles high enough that gravity alone becomes a significant factor in geomorphic development, as well as base-of-slope areas influenced by hillslope processes. Hillslope activities include creep, sliding, slumping, falling, and other downslope movements caused by slope collapse induced by gravitational influence on earth materials. May be subaerial or subaqueous.
sessf:hinterland_setting	Tectonic setting in the internal part of an orogenic belt, characterized by plastic deformation of rocks accompanied by significant metamorphism, typically involving crystalline basement rocks. Typically denotes the most structurally thickened part of an orogenic belt, between a magmatic arc or collision zone and a more 'external' foreland setting.
sessf:hot_spot	Setting in a zone of high heat flow from the mantle. Typically identified in intraplate settings, but hot spot may also interact with active plate margins (Iceland...). Includes surface manifestations like volcanic center, but also includes crust and mantle manifestations as well.
sessf:humid_temperate_climatic_setting	Setting with seasonal climate having hot to cold or humid to arid seasons.
sessf:humid_tropical_climatic_setting	Setting with hot humid climate influenced by equatorial air masses, no winter season.
sessf:hummock	a rounded or conical very low hill rising slightly from the adjacent surface
sessf:hypabyssal_setting	Igneous environment close to the Earth's surface, characterized by more rapid cooling than plutonic setting to produce generally fine-grained intrusive igneous rock that is commonly associated with co-magmatic volcanic rocks.
sessf:igneous_system	
sessf:impact_structure	
sessf:inactive_spreading_center	Setting on oceanic crust formed at a spreading center that has been abandoned.
sessf:inner_neritic_setting	The ocean environment at depths between low tide level and 30 metres
sessf:insular_shelf	That part of the ocean floor that is between the shoreline of an island and the shelf-slope boundary (or, when there is no noticeable  shelf-slope boundary, a depth of 200 m). It is characterized by its gentle slope of 0.1 degree (Jackson, 1997, p. 138).
sessf:interdistributary_bay	A pronounced indentation of the delta front between advancing stream distributaries, occupied by shallow water, and either open to the sea or partly enclosed by minor distributaries
sessf:intermittent_stream_channel	a watercourse that temporarily or seasonally fills and flows after sufficient rain.
sessf:intertidal	Pertaining to the benthic ocean environment or depth zone between high water and low water, also, pertaining to the organisms of that environment
sessf:intraoceanic_trench	A deep submarine valley associated with a subduction zone between oceanic tectonic plates
sessf:intraplate_tectonic_setting	Tectonically stable setting far from any active plate margins.
sessf:intrusive_igneous_complex	Features related to igneous activity wholly within the Earth, characterized by slow cooling to produce generally medium to coarse-grained intrusive igneous rocks.
sessf:island	
sessf:island_arc	A volcanic arc related to an intraoceanic subduction zone, consisting of a chain of islands formed by volcanos above a subduction zone.
sessf:isthmus	narrow strip of land connecting two large land areas otherwise separated by bodies of water.
sessf:karst	A landform that formed by dissolution of soluble rock like limestone or gypsum, characterized by sinkholes, caves, and underground drainage
sessf:lacustrine_delta	The low, nearly flat, alluvial tract of land at or near the mouth of a river, commonly forming a triangular or fan-shaped plain of considerable area, crossed by many distributaries of the main river, perhaps extending beyond the general trend of the lake shore, resulting from the accumulation of sediment supplied by the river in such quantities that it is not removed by waves or currents. Most deltas are partly subaerial and partly below water.
sessf:lacustrine_setting	Setting associated with a lake. Always overlaps with terrestrial, may overlap with subaerial, subaqueous, or shoreline.
sessf:lagoonal_setting	A shallow stretch of salt or brackish water, partly or completely separated from a sea or lake by an offshore reef, barrier island, sand or spit (Jackson, 1997). Water is shallow, tidal and wave-produced effects on sediments, strong light reaches sediment..
sessf:lake	A body of water on the Earth's surface, localized in a basin or interconnected basins surrounded by dry land.
sessf:lake_fresh_water	Natural lakes or human impounded fresh water resevoirs.
sessf:lake_saline	
sessf:landslide	a mass of rock, debris, or earth that has moved down a slope under the influence of gravity
sessf:lava_flow	
sessf:low_energy_shoreline_setting	Settings characterized by very low surface slope and proximity to shoreline. Generally within peritidal setting, but characterized by low surface gradients and generally low-energy sedimentary processes.
sessf:low_pressure_high_temperature_setting	Setting characterized by temperatures significantly higher that those associated with normal continental geothermal gradient.
sessf:lower_bathyal_setting	The ocean environment at depths between 1000 and 3500 metres
sessf:lower_continental_crust	Continental crustal setting characterized by upper amphibolite to granulite facies metamorphism, insitu melting, residual anhydrous metamorphic rocks, and ductile flow of rock bodies.
sessf:lower_delta_plain	The part of a delta plain which is penetrated by saline water and is subject to tidal processes
sessf:lower_mantle	That part of the mantle that lies below a depth of about 660 km. With increasing depth, density increases from ~4.4 g/cm3-to ~5.6 g/cm3, and velocity of compressional seismic waves increases from ~10.7 km/s to ~13.7 km/s (Dziewonski and Anderson, 1981).
sessf:lower_oceanic_crust	Setting characterized by dominantly intrusive mafic rocks, with sheeted dike complexes in upper part and gabbroic to ultramafic intrusive or metamorphic rocks in lower part.
sessf:mafic_to_ultramafic_intrusive_complex	
sessf:mantle	The zone of the Earth below the crust and above the core, which is divided into the upper mantle and the lower mantle, with a transition zone separating them.
sessf:marginal_marine_sabkha	Setting characterized by arid to semi-arid conditions on restricted coastal plains mostly above normal high tide level, with evaporite-saline mineral, tidal-flood, and eolian deposits. Boundaries with intertidal setting and non-tidal terrestrial setting are gradational. (Jackson, 1997, p. 561).
sessf:marginal_shelf	
sessf:marine_carbonate_platform	A shallow submerged plateau separated from continental landmasses, on which high biological carbonate production rates produce enough sediment to maintain the platform surface near sea level. Grades into atoll as area becomes smaller and ringing coral reefs become more prominent part of the setting.
sessf:marine_setting	Setting characterized by location under the surface of the sea.
sessf:meandering_channel	Produced by a mature stream swinging from side to side as it flows across its floodplain or shifts its course laterally toward the convex side of an original curve
sessf:melange	A body of rock characterized by a lack of continuous bedding and the inclusion of fragments of rock of all sizes, contained in a fine-grained deformed matrix. The melange typically consists of a jumble of large blocks of varied lithology.
sessf:mesa	an isolated, flat-topped elevation,  bounded on all sides by steep escarpments,  standing distinctly above a surrounding plain.
sessf:middle_bathyal_setting	The ocean environment at water depths between 600 and 1000 metres
sessf:middle_continental_crust	Continental crustal setting characterized by greenschist to upper amphibolite facies metamorphism, plutonic igneous rocks, and ductile deformation.
sessf:mineralized_body	Sampled feature is a part of the Earth that has been enriched in elements of economic interest
sessf:mining_site	
sessf:moraine	A mound, hill, ridge or other elevated feature that is an accumulation of debris transported by a glacier
sessf:mountain	a portion of the Earth's surface that is sufficiently elevated above the surrounding  surface to be a distinct feature. Generally has steep sides. Differentiate from a plateau in having a limited summit area; higher than a hill, typically rising at least 300 metres (980 ft) above the surrounding surface.
sessf:mountain_range	A region characterized by a succession of mountains or narrowly spaced mountain ridges, closely related in position, formation, and age
sessf:mountain_stream_valley	V-shaped valley formed by erosion in mountainous terran. It may contain a small stream or dry creek bed with a steep gradient and is usually larger in size than a gully.
sessf:mud_flat	A relatively level area of fine grained material (e.g. silt) along a shore (as in a sheltered estuary or chenier-plain) or around an island, alternately covered and uncovered by the tide or covered by shallow water, and barren of vegetation. Includes most tidal flats, but lacks denotation of tidal influence.
sessf:neritic_setting	The ocean environment at depths between low-tide level and 200 metres, or between low-tide level and approximately the edge of the continental shelf
sessf:ocean_crust	That type of the Earth's crust which underlies the ocean basins. The oceanic crust is 5-10 km thick, it has a density of 2.9 g/cm3, and compressional seismic-wave velocities travelling through it at 4-7.2 km/sec. Setting in crust produced by submarine volcanism at a mid ocean ridge.
sessf:ocean_highland	Broad category for subaqueous marine settings characterized by significant relief above adjacent sea floor.
sessf:ocean_plateau	Region of elevated ocean crust that commonly rises to within 2-3 km of the surface above an abyssal sea floor that lies several km deeper. Climate and water depths are such that a marine carbonate platform does not develop.
sessf:ocean_ridge_crest	
sessf:ocean_ridge_flank	
sessf:ophiolite	A rock body interpreted to represent exhumed ocean crust.
sessf:outcrop	Sampled feature is an exposure of rock or sediment at the Earth's surface
sessf:passive_continental_margin	Boundary of continental crust into oceanic crust of an oceanic basin that is not a subduction zone or transform fault system. Generally is rifted margin formed when ocean basin was initially formed.
sessf:pediment	A gently sloping erosional surface developed at the foot of a receding hill or mountain slope. The surface may be essentially bare, exposing earth material that extends beneath adjacent uplands, or it may be thinly mantled with alluvium and colluvium, ultimately in transit from upland front to basin or valley lowland. In hill-foot slope terrain the mantle is designated \pedisediment.\ The term has been used in several geomorphic contexts: Pediments may be classed with respect to (a) landscape positions, for example, intermontane-basin piedmont or valley-border footslope surfaces (respectively, apron and terrace pediments (Cooke and Warren, 1973)), (b) type of material eroded, bedrock or regolith, or (c) combinations of the above. Compare - Piedmont slope..
sessf:physiographic_feature	A feature that is defined by the morphology of the Earth surface
sessf:piedmont_slope	Location on gentle slope at the foot of a mountain, generally used in terms of intermontane-basin terrain. Main components include: (a) An erosional surface on bedrock adjacent to the receding mountain front (pediment, rock pediment), (b) A constructional surface comprising individual alluvial fans and interfan valleys, also near the mountain front, and (c) A distal complex of coalescent fans (bajada), and alluvial slopes without fan form. Piedmont slopes grade to basin-floor depressions with alluvial and temporary lake plains or to surfaces associated with through drainage.
sessf:plain	a relatively flat area of the Earth surface characterized by very low relief  with no prominent irregularities.
sessf:plate_margin	Tectonic setting at the boundary between two tectonic plates.
sessf:plate_spreading_center	Tectonic setting where new oceanic crust is being or has been formed at a divergent plate boundary.
sessf:plateau	An extensive, relatively flat area of the Earth's surface that is significantly elevated above the adjacent region.
sessf:playa	The usually dry and nearly level plain that occupies the lowest parts of closed depressions, such as those occurring on intermontane basin floors. Temporary flooding occurs primarily in response to precipitation-runoff events.
sessf:pluton	
sessf:polar_climatic_setting	Setting with climate dominated by temperatures below the freezing temperature of water. Includes polar deserts because precipitation is generally scant at high latitude. Climate controlled by arctic air masses, cold dry environment with short summer.
sessf:prairie	a region of relatively level to rolling grassland, generally treeless
sessf:prodelta	The part of a delta that is below the effective depth of wave erosion, lying beyond the delta front, and sloping gently down to the floor of the basin into which the delta is advancing and where clastic river sediment ceases to be a significant part of the basin-floor deposits, it is entirely below the water level
sessf:proglacial_setting	Immediately in front of or just beyond the outer limits of a glacier or ice sheet, generally at or near its lower end, said of lakes, streams, deposits, and other features produced by or derived from the glacier ice
sessf:quarry	
sessf:reef_flat	A stony platform of reef rock, landward of the reef crest at or above the low tide level, occasionally with patches of living coral and associated organisms, and commonly strewn with coral fragments and coral sand. It may include shallow pools, irregular gullies, low islands of sand or rubble (often vegetated, esp. by palms), and scattered colonies of the more hardy species of coral
sessf:regional_metamorphic_setting	Metamorphism not obviously localized along contacts of igneous bodies, includes burial metamorphism and ocean ridge metamorphism
sessf:ridge	A long, narrow, elevated landform separated from the surrounding terrain by slopes.
sessf:rift_zone	A regional extended terrane in a zone of plate or plate-fragment divergence
sessf:rise_continental	
sessf:rise_insular	
sessf:river_channel	The bed where a natural body of surface water flows or may flow, a natural passageway or depression of perceptible extent containing continuously or periodically flowing water, or forming a connecting link between two bodies of water, a watercourse
sessf:river_stream	A body of fresh water flowing in a channel to the sea, a lake, or another such flowing body of water.
sessf:river_system	Geologic setting dominated by a river system in any climatic setting. Includes active channels, abandoned channels, levees, oxbow lakes, flood plain. May be part of an alluvial plain that includes terraces composed of abandoned river plain deposits.
sessf:rocky_coast	Shoreline with significant relief and abundant rock outcrop.
sessf:sand_plain	A sand-covered plain dominated by aeolian processes.
sessf:seamount	Setting that consists of a conical mountain on the ocean floor (guyot). Typically characterized by active volcanism, pelagic sedimentation. If the mountain is high enough to reach the photic zone, carbonate production may result in reef building to produce a carbonate platform or atoll setting.
sessf:sedimentary_basin	A region that accumulates sedimentary (and possibly subordinate interbedded volcanic) rocks, typically bounded by geologic structures.
